property_id,title,source_category,city,district,price_double,area_double,bedrooms_int,price_per_sqm,price_per_bedroom,area_per_bedroom,log_price,title_length,price_hint_rent,has_mat_tien,has_so_do,has_hxh,has_view,has_noi_that,is_hem,is_missing_bedroom,is_missing_price,listing_type,listing_confidence,property_type,property_confidence
130425390,"cần bán nhà gấp chính chủ,nhà mới …",nhà ở,An Giang,Thành phố Long Xuyên,1400000000.0,125.3,2,11173184.3575419,700000000.0,62.65,21.05973807428191,35,0,0,0,0,0,0,0,0,0,BAN,0.8,Nhà phố/Nhà riêng,0.85
132077913,cho thuê nhà nguyên căn,nhà ở,An Giang,Thành phố Long Xuyên,2000000.0,50.0,1,40000.0,2000000.0,50.0,14.508658238524095,23,1,0,0,0,0,0,0,0,0,CHO_THUE,0.8,Nhà phố/Nhà riêng,0.85
132113350,cho thuê nhà 1 trệt 1 lầu đường thoại ngọc hầu giá 6.5tr/thang,nhà ở,An Giang,Thành phố Long Xuyên,6500000.0,80.0,2,81250.0,3250000.0,40.0,15.687312888712007,62,1,0,0,0,0,0,0,0,0,CHO_THUE,0.8,Nhà phố/Nhà riêng,0.85
132079002,"cần tiền bán gấp nhà đất ngay trung tâm tp bến cát,bình dương",nhà ở,Bình Dương,Thị xã Bến Cát,5500000000.0,500.0,2,11000000.0,2750000000.0,250.0,22.428013929366653,61,0,0,0,0,0,0,0,0,0,BAN,0.8,Nhà phố/Nhà riêng,0.85
132078866,cho thuê xưởng 125m2 bình chuẩn giáp an phú giá 7 tr/ tháng,"văn phòng, mặt bằng kinh doanh",Bình Dương,Thành phố Thuận An,7000000.0,125.0,0,56000.0,0.0,0.0,15.76142084987672,59,1,0,0,0,0,0,0,0,0,CHO_THUE,0.8,Sang nhượng/Mặt bằng,0.85
132078607,cho thuê chung cư phúc đạt 1-2pn trống hoặc full nội thất,căn hộ/chung cư,Bình Dương,Thành phố Thủ Dầu Một,4000000.0,42.0,1,95238.09523809524,4000000.0,42.0,15.201805169084134,57,1,0,0,0,0,1,0,0,0,CHO_THUE,0.8,Căn hộ chung cư,0.9
130819628,cho thuê nhà biệt thự 2 mặt tiền – phù hợp kinh doanh đa ngành nghề,"văn phòng, mặt bằng kinh doanh",Bình Dương,Thành phố Dĩ An,60000000.0,1000.0,0,60000.0,0.0,0.0,17.909855136853043,67,1,1,0,0,0,0,0,0,0,CHO_THUE,0.8,Sang nhượng/Mặt bằng,0.85
129730294,khai trương dãy trọ mới xây ngay đường nguyễn đưc thiệu - dĩ an,phòng trọ,Bình Dương,Thành phố Dĩ An,1300000.0,25.0,0,52000.0,0.0,0.0,14.077875591662238,63,1,0,0,0,0,0,0,0,0,CHO_THUE,0.95,Phòng trọ/Nhà trọ,0.9
127838952,mình chính chủ  cần bán nhà gần làng đại học thủ đức ( đã hoàn công ),nhà ở,Bình Dương,Thành phố Dĩ An,4600000000.0,77.0,3,59740259.74025974,1533333333.3333333,25.666666666666668,22.24932214065885,69,0,0,0,0,0,0,0,0,0,BAN,0.8,Nhà phố/Nhà riêng,0.85
132078195,cho thuê căn hộ bcons greenview - 51m2 - 5.5tr,căn hộ/chung cư,Bình Dương,Thành phố Dĩ An,5500000.0,51.0,2,107843.13725490196,2750000.0,25.5,15.520258832020865,46,1,0,0,0,1,0,0,0,0,CHO_THUE,0.8,Căn hộ chung cư,0.9
132078124,cho thuê kho 125tr/7tr an phú thuận an,"văn phòng, mặt bằng kinh doanh",Bình Dương,Thành phố Thuận An,7000000.0,125.0,0,56000.0,0.0,0.0,15.76142084987672,38,1,0,0,0,0,0,0,0,0,CHO_THUE,0.8,Sang nhượng/Mặt bằng,0.85
132078117,nhà trọ mặt tiền kiot giá rẻ kv lái thiêu thuận an bình dương,nhà ở,Bình Dương,Thành phố Thuận An,4500000.0,40.0,1,112500.0,4500000.0,40.0,15.319588176962746,61,1,1,0,0,0,0,0,0,0,CHO_THUE,0.8,Sang nhượng/Mặt bằng,0.85
132078050,"chính chủ cần bán lô đất kdc lê phong, tân bình",đất,Bình Dương,Thành phố Dĩ An,4100000000.0,65.1999,0,62883532.0299571,0.0,0.0,22.134252810900577,47,0,0,0,0,0,0,0,0,0,BAN,0.8,Đất nền/Đất dự án,0.8
132078020,"cho thuê căn hộ bcons plaza - 5,5tr - 2pn,2wc - ntcb",căn hộ/chung cư,Bình Dương,Thành phố Dĩ An,5500000.0,51.0,2,107843.13725490196,2750000.0,25.5,15.520258832020865,52,1,0,0,0,0,0,0,0,0,CHO_THUE,0.8,Căn hộ chung cư,0.9
132077995,mới máy lạnh nội thất cơ bản - cho thuê mới căn 2pn2wc bcons city,căn hộ/chung cư,Bình Dương,Thành phố Dĩ An,6000000.0,55.0,2,109090.90909090909,3000000.0,27.5,15.607270193858982,65,1,0,0,0,0,1,0,0,0,CHO_THUE,0.8,Căn hộ chung cư,0.9
132077958,"cho thuê kho 2.600m² – tp. thủ dầu một, bình dương 📍 vị trí: gần kcn s","văn phòng, mặt bằng kinh doanh",Bình Dương,Thành phố Thủ Dầu Một,211000000.0,2600.0,0,81153.84615384616,0.0,0.0,19.167368696179675,70,1,0,0,0,0,0,0,0,0,CHO_THUE,0.8,Sang nhượng/Mặt bằng,0.85
